"hw.number","mean.temp","max.temp","min.temp","length","start.date","end.date","start.doy","start.month","days.above.80","days.above.85","days.above.90","days.above.95","days.above.99th","days.above.99.5th","first.in.season","threshold","mean.temp.quantile","max.temp.quantile","min.temp.quantile","mean.temp.1","mean.summer.temp","city"
47,87.908,88.088,87.728,2,2078-07-31,2078-08-01,211,7,2,2,0,0,2,0,0,84.25436,0.992328767123288,0.992602739726027,0.991780821917808,49.6844378082192,67.2960352941176,"balt"
48,85.442,85.874,85.01,2,2078-08-10,2078-08-11,221,8,2,2,0,0,0,0,0,84.25436,0.984931506849315,0.986849315068493,0.983835616438356,49.6844378082192,67.2960352941176,"balt"
49,88.034,90.338,85.73,2,2078-08-13,2078-08-14,224,8,2,2,1,0,1,1,0,84.25436,0.992602739726027,0.996164383561644,0.986301369863014,49.6844378082192,67.2960352941176,"balt"
50,92.1308,95.5760000000001,90.3560000000001,5,2078-08-17,2078-08-21,228,8,5,5,5,1,5,5,0,84.25436,0.998082191780822,0.99972602739726,0.996164383561644,49.6844378082192,67.2960352941176,"balt"
51,85.883,86.9179999999999,84.6679999999999,4,2078-08-23,2078-08-26,234,8,4,3,0,0,1,0,0,84.25436,0.986849315068493,0.99041095890411,0.981917808219178,49.6844378082192,67.2960352941176,"balt"
52,87.0079999999999,88.0339999999999,85.9819999999999,2,2079-05-24,2079-05-25,143,5,2,2,0,0,1,0,1,84.25436,0.99041095890411,0.992602739726027,0.987671232876712,49.6844378082192,67.2960352941176,"balt"
53,92.5429999999999,94.802,90.2839999999999,2,2079-05-28,2079-05-29,147,5,2,2,2,0,2,2,0,84.25436,0.998904109589041,0.999452054794521,0.996164383561644,49.6844378082192,67.2960352941176,"balt"
54,89.4632,92.192,87.296,5,2079-06-08,2079-06-12,158,6,5,5,2,0,5,2,0,84.25436,0.995068493150685,0.998082191780822,0.990958904109589,49.6844378082192,67.2960352941176,"balt"
55,90.1465454545455,94.2260000000001,84.83,11,2079-07-13,2079-07-23,193,7,11,9,8,0,9,8,0,84.25436,0.995890410958904,0.999178082191781,0.983013698630137,49.6844378082192,67.2960352941176,"balt"
56,88.394,91.094,85.802,6,2079-07-29,2079-08-03,209,7,6,6,2,0,4,3,0,84.25436,0.993150684931507,0.996986301369863,0.986575342465753,49.6844378082192,67.2960352941176,"balt"
57,92.306,98.114,85.748,6,2079-08-08,2079-08-13,219,8,6,6,4,2,5,4,0,84.25436,0.998356164383562,1,0.986301369863014,49.6844378082192,67.2960352941176,"balt"
58,84.875,85.244,84.506,2,2079-09-03,2079-09-04,245,9,2,1,0,0,0,0,0,84.25436,0.983561643835616,0.984657534246575,0.981095890410959,49.6844378082192,67.2960352941176,"balt"
59,87.8,90.752,84.416,8,2079-09-09,2079-09-16,251,9,8,6,3,0,5,3,0,84.25436,0.991780821917808,0.996712328767123,0.980821917808219,49.6844378082192,67.2960352941176,"balt"
1,81.5324,85.9819999999999,78.296,10,2070-06-13,2070-06-22,163,6,7,2,0,0,8,5,1,78.1167199999999,0.996712328767123,1,0.982191780821918,57.4712920547945,68.5630470588235,"ny"
2,81.4676,84.8659999999999,78.2780000000001,15,2070-06-25,2070-07-09,175,6,12,0,0,0,12,11,0,78.1167199999999,0.996164383561644,1,0.982191780821918,57.4712920547945,68.5630470588235,"ny"
3,80.6765,81.77,79.214,4,2070-07-11,2070-07-14,191,7,3,0,0,0,3,2,0,78.1167199999999,0.993972602739726,0.996712328767123,0.989315068493151,57.4712920547945,68.5630470588235,"ny"
4,79.844,80.7260000000001,78.9619999999999,2,2070-07-17,2070-07-18,197,7,1,0,0,0,1,0,0,78.1167199999999,0.991232876712329,0.994794520547945,0.987397260273973,57.4712920547945,68.5630470588235,"ny"
5,84.7068125,90.392,78.638,32,2070-07-20,2070-08-20,200,7,30,13,2,0,31,28,0,78.1167199999999,1,1,0.984931506849315,57.4712920547945,68.5630470588235,"ny"
6,79.8131428571428,81.23,78.494,7,2070-08-24,2070-08-30,235,8,4,0,0,0,4,1,0,78.1167199999999,0.991232876712329,0.996164383561644,0.983561643835616,57.4712920547945,68.5630470588235,"ny"
7,80.1716,81.968,78.17,5,2070-09-01,2070-09-05,243,9,3,0,0,0,4,1,0,78.1167199999999,0.992328767123288,0.996986301369863,0.98027397260274,57.4712920547945,68.5630470588235,"ny"
8,79.2905,80.294,78.2780000000001,4,2070-09-11,2070-09-14,253,9,2,0,0,0,2,0,0,78.1167199999999,0.98958904109589,0.993150684931507,0.982191780821918,57.4712920547945,68.5630470588235,"ny"
9,78.758,79.448,78.4039999999999,3,2071-06-26,2071-06-28,176,6,0,0,0,0,0,0,1,78.1167199999999,0.986027397260274,0.98986301369863,0.983013698630137,57.4712920547945,68.5630470588235,"ny"
10,79.5272,80.294,78.5480000000001,5,2071-07-02,2071-07-06,182,7,1,0,0,0,2,0,0,78.1167199999999,0.98986301369863,0.993150684931507,0.984109589041096,57.4712920547945,68.5630470588235,"ny"
11,79.187,80.1499999999999,78.224,2,2071-07-10,2071-07-11,190,7,1,0,0,0,1,0,0,78.1167199999999,0.989315068493151,0.992328767123288,0.981643835616438,57.4712920547945,68.5630470588235,"ny"
12,83.867,90.32,78.5839999999999,18,2071-07-13,2071-07-30,193,7,17,6,1,0,17,15,0,78.1167199999999,0.999452054794521,1,0.984383561643836,57.4712920547945,68.5630470588235,"ny"
13,80.6582352941176,85.892,78.1339999999998,17,2071-08-01,2071-08-17,212,8,10,1,0,0,11,7,0,78.1167199999999,0.993972602739726,1,0.98,57.4712920547945,68.5630470588235,"ny"
14,80.402,83.6060000000001,78.152,4,2071-08-19,2071-08-22,230,8,2,0,0,0,2,2,0,78.1167199999999,0.993424657534247,0.999178082191781,0.98027397260274,57.4712920547945,68.5630470588235,"ny"
15,79.205,80.222,78.1879999999999,2,2071-08-24,2071-08-25,235,8,1,0,0,0,1,0,0,78.1167199999999,0.989315068493151,0.992602739726027,0.980547945205479,57.4712920547945,68.5630470588235,"ny"
16,82.572,85.9280000000001,78.512,18,2071-08-28,2071-09-14,239,8,16,2,0,0,16,16,0,78.1167199999999,0.997534246575343,1,0.983561643835616,57.4712920547945,68.5630470588235,"ny"
17,81.2089999999999,83.0839999999999,79.07,6,2071-09-30,2071-10-05,272,9,5,0,0,0,5,4,0,78.1167199999999,0.996164383561644,0.998082191780822,0.988767123287671,57.4712920547945,68.5630470588235,"ny"
